ObservationDate,Confirmed,Deaths,Recovered
1/22/2020,1,0,0
1/22/2020,14,0,0
1/22/2020,6,0,0
1/22/2020,1,0,0
1/22/2020,0,0,0
1/22/2020,26,0,0
1/22/2020,2,0,0
1/22/2020,1,0,0
1/22/2020,4,0,0
1/22/2020,1,0,0
1/22/2020,0,0,0
1/22/2020,5,0,0
1/22/2020,0,0,0
1/22/2020,444,17,28
1/22/2020,4,0,0
1/22/2020,0,0,0
1/22/2020,1,0,0
1/22/2020,2,0,0
1/22/2020,0,0,0
1/22/2020,2,0,0
1/22/2020,1,0,0
1/22/2020,1,0,0
1/22/2020,0,0,0
1/22/2020,0,0,0
1/22/2020,2,0,0
1/22/2020,9,0,0
1/22/2020,1,0,0
1/22/2020,5,0,0
1/22/2020,1,0,0
1/22/2020,4,0,0
1/22/2020,0,0,0
1/22/2020,1,0,0
1/22/2020,0,0,0
1/22/2020,1,0,0
1/22/2020,10,0,0
1/22/2020,2,0,0
1/22/2020,2,0,0
1/22/2020,1,0,0
1/23/2020,9,0,0
1/23/2020,22,0,0
1/23/2020,9,0,0
1/23/2020,5,0,0
1/23/2020,2,0,0
1/23/2020,32,0,2
1/23/2020,5,0,0
1/23/2020,3,0,0
1/23/2020,5,0,0
1/23/2020,1,1,0
1/23/2020,2,0,0
1/23/2020,5,0,0
1/23/2020,2,0,0
1/23/2020,444,17,28
1/23/2020,9,0,0
1/23/2020,0,0,0
1/23/2020,5,0,0
1/23/2020,7,0,0
1/23/2020,1,0,0
1/23/2020,3,0,0
1/23/2020,2,0,0
1/23/2020,1,0,0
1/23/2020,0,0,0
1/23/2020,3,0,0
1/23/2020,6,0,0
1/23/2020,16,0,0
1/23/2020,1,0,0
1/23/2020,8,0,0
1/23/2020,1,0,0
1/23/2020,4,0,0
1/23/2020,0,0,0
1/23/2020,1,0,0
1/23/2020,2,0,0
1/23/2020,2,0,0
1/23/2020,27,0,0
1/23/2020,1,0,0
1/23/2020,3,0,0
1/23/2020,1,0,0
1/23/2020,1,0,0
1/23/2020,0,0,0
1/23/2020,0,0,0
1/23/2020,2,0,0
1/23/2020,0,0,0
1/23/2020,0,0,0
1/23/2020,0,0,0
1/23/2020,0,0,0
1/24/2020,549,24,31
1/24/2020,53,0,2
1/24/2020,43,0,1
1/24/2020,36,0,1
1/24/2020,27,0,0
1/24/2020,24,0,0
1/24/2020,23,0,0
1/24/2020,20,0,1
1/24/2020,18,0,0
1/24/2020,15,0,0
1/24/2020,15,0,0
1/24/2020,15,0,0
1/24/2020,10,0,0
1/24/2020,9,0,0
1/24/2020,9,0,0
1/24/2020,8,0,0
1/24/2020,8,0,0
1/24/2020,5,0,0
1/24/2020,5,0,0
1/24/2020,4,1,0
1/24/2020,4,0,0
1/24/2020,3,0,0
1/24/2020,3,0,0
1/24/2020,3,0,0
1/24/2020,2,0,0
1/24/2020,2,0,0
1/24/2020,2,0,0
1/24/2020,2,1,0
1/24/2020,2,0,0
1/24/2020,2,0,0
1/24/2020,1,0,0
1/24/2020,1,0,0
1/24/2020,0,0,0
1/24/2020,1,0,0
1/24/2020,1,0,0
1/24/2020,2,0,0
1/24/2020,5,0,0
1/24/2020,2,0,0
1/24/2020,3,0,0
1/24/2020,2,0,0
1/24/2020,2,0,0
1/25/2020,761,40,32
1/25/2020,78,0,2
1/25/2020,62,0,1
1/25/2020,57,0,0
1/25/2020,43,0,0
1/25/2020,41,0,2
1/25/2020,39,0,0
1/25/2020,33,0,1
1/25/2020,32,0,0
1/25/2020,28,0,0
1/25/2020,27,0,0
1/25/2020,23,0,0
1/25/2020,19,0,0
1/25/2020,18,0,0
1/25/2020,18,0,0
1/25/2020,18,0,1
1/25/2020,17,0,0
1/25/2020,15,0,0
1/25/2020,11,0,0
1/25/2020,10,0,0
1/25/2020,9,1,0
1/25/2020,8,1,0
1/25/2020,7,0,0
1/25/2020,6,0,0
1/25/2020,5,0,0
1/25/2020,4,0,0
1/25/2020,4,0,0
1/25/2020,4,0,0
1/25/2020,3,0,0
1/25/2020,3,0,0
1/25/2020,3,0,0
1/25/2020,2,0,0
1/25/2020,1,0,0
1/25/2020,1,0,0
1/25/2020,1,0,0
1/25/2020,2,0,0
1/25/2020,7,0,0
1/25/2020,2,0,0
1/25/2020,3,0,0
1/25/2020,2,0,0
1/25/2020,3,0,0
1/25/2020,4,0,0
1/25/2020,1,0,0
1/25/2020,3,0,0
1/26/2020,1058,52,42
1/26/2020,111,0,2
1/26/2020,104,0,1
1/26/2020,83,1,0
1/26/2020,75,0,0
1/26/2020,69,0,0
1/26/2020,68,0,2
1/26/2020,60,0,0
1/26/2020,46,0,0
1/26/2020,44,0,0
1/26/2020,40,1,1
1/26/2020,36,0,0
1/26/2020,36,0,0
1/26/2020,35,0,0
1/26/2020,33,0,1
1/26/2020,22,0,0
1/26/2020,22,0,0
1/26/2020,21,0,0
1/26/2020,16,0,0
1/26/2020,15,1,0
1/26/2020,14,0,0
1/26/2020,13,1,0
